Campaign,Ad Group,Keyword,Match Type,Max CPC
Man With A Van - Exact Match,Bewdley - Man With Van,[man and van bewdley],Exact,
Man With A Van - Exact Match,Bridgend - Man With Van,[man and van bridgend],Exact,
Man With A Van - Exact Match,Colyton - Man With Van,[man and van colyton],Exact,
Man With A Van - Exact Match,Halesowen - Man With Van,[man and van halesowen],Exact,
Man With A Van - Exact Match,Malton - Man With Van,[man and van malton],Exact,
Man With A Van - Exact Match,Mold - Man With Van,[man and van mold],Exact,
Man With A Van - Exact Match,Moreton-in-Marsh - Man With Van,[man and van moreton-in-marsh],Exact,
Man With A Van - Exact Match,Colwyn Bay - Man With Van,[man and van colwyn bay],Exact,
Man With A Van - Exact Match,Madeley - Man With Van,[man and van madeley],Exact,
Man With A Van - Exact Match,Newbiggin-by-the-Sea - Man With Van,[man and van newbiggin-by-the-sea],Exact,
Man With A Van - Exact Match,Prescot - Man With Van,[man and van prescot],Exact,
Man With A Van - Exact Match,Shifnal - Man With Van,[man and van shifnal],Exact,
Man With A Van - Exact Match,Spennymoor - Man With Van,[man and van spennymoor],Exact,
Man With A Van - Exact Match,Stirling - Man With Van,[man and van stirling],Exact,
Man With A Van - Exact Match,Penrith - Man With Van,[man and van penrith],Exact,
Man With A Van - Exact Match,Thornaby-on-Tees - Man With Van,[man and van thornaby-on-tees],Exact,
Man With A Van - Exact Match,Bethesda - Man With Van,[man and van bethesda],Exact,
Man With A Van - Exact Match,Ammanford - Man With Van,[man and van ammanford],Exact,
Man With A Van - Exact Match,Batley - Man With Van,[man and van batley],Exact,
Man With A Van - Exact Match,Cranbrook - Man With Van,[man and van cranbrook],Exact,
Man With A Van - Exact Match,Craven Arms - Man With Van,[man and van craven arms],Exact,
Man With A Van - Exact Match,Caterham - Man With Van,[man and van caterham],Exact,
Man With A Van - Exact Match,Emsworth - Man With Van,[man and van emsworth],Exact,
Man With A Van - Exact Match,Longtown - Man With Van,[man and van longtown],Exact,
Man With A Van - Exact Match,Skelton-in-Cleveland - Man With Van,[man and van skelton-in-cleveland],Exact,
